ZipCode,Category,YearsAhead,AbsoluteValue,NormalizedValue,Rank,Metric
60643,Playground,0,13,0.315789474,4,Count of playgrounds
60644,Playground,0,9,0.526315789,16,Count of playgrounds
60645,Playground,0,7,0.631578947,24,Count of playgrounds
60646,Playground,0,8,0.578947368,23,Count of playgrounds
60647,Playground,0,11,0.421052632,9,Count of playgrounds
60649,Playground,0,5,0.736842105,36,Count of playgrounds
60651,Playground,0,5,0.736842105,36,Count of playgrounds
60652,Playground,0,6,0.684210526,29,Count of playgrounds
60653,Playground,0,7,0.631578947,24,Count of playgrounds
60654,Playground,0,0,1,48,Count of playgrounds
60655,Playground,0,5,0.736842105,36,Count of playgrounds
60656,Playground,0,3,0.842105263,44,Count of playgrounds
60657,Playground,0,3,0.842105263,44,Count of playgrounds
60659,Playground,0,7,0.631578947,24,Count of playgrounds
60660,Playground,0,4,0.789473684,40,Count of playgrounds
60707,Playground,0,0,1,48,Count of playgrounds
60827,Playground,0,0,1,48,Count of playgrounds
6761,Playground,1,5,0.736842105,36,Count of playgrounds
12311,Playground,1,6,0.684210526,29,Count of playgrounds
60608,Playground,1,13,0.315789474,4,Count of playgrounds
60609,Playground,1,19,0,1,Count of playgrounds
60610,Playground,1,4,0.789473684,40,Count of playgrounds
60612,Playground,1,7,0.631578947,24,Count of playgrounds
60613,Playground,1,2,0.894736842,46,Count of playgrounds
60614,Playground,1,17,0.105263158,2,Count of playgrounds
60615,Playground,1,10,0.473684211,11,Count of playgrounds
60616,Playground,1,15,0.210526316,3,Count of playgrounds
60617,Playground,1,13,0.315789474,4,Count of playgrounds
60618,Playground,1,10,0.473684211,11,Count of playgrounds
60619,Playground,1,10,0.473684211,11,Count of playgrounds
60620,Playground,1,11,0.421052632,9,Count of playgrounds
60621,Playground,1,7,0.631578947,24,Count of playgrounds
60622,Playground,1,9,0.526315789,16,Count of playgrounds
60623,Playground,1,9,0.526315789,16,Count of playgrounds
60624,Playground,1,13,0.315789474,4,Count of playgrounds
60625,Playground,1,9,0.526315789,16,Count of playgrounds
60626,Playground,1,10,0.473684211,11,Count of playgrounds
60628,Playground,1,9,0.526315789,16,Count of playgrounds
60629,Playground,1,6,0.684210526,29,Count of playgrounds
60630,Playground,1,9,0.526315789,16,Count of playgrounds
60631,Playground,1,6,0.684210526,29,Count of playgrounds
60632,Playground,1,6,0.684210526,29,Count of playgrounds
60633,Playground,1,2,0.894736842,46,Count of playgrounds
60634,Playground,1,4,0.789473684,40,Count of playgrounds
60636,Playground,1,6,0.684210526,29,Count of playgrounds
60637,Playground,1,12,0.368421053,8,Count of playgrounds
60638,Playground,1,10,0.473684211,11,Count of playgrounds
60639,Playground,1,9,0.526315789,16,Count of playgrounds
60640,Playground,1,4,0.789473684,40,Count of playgrounds
60641,Playground,1,6,0.684210526,29,Count of playgrounds
60642,Playground,1,0,1,48,Count of playgrounds
60643,Playground,1,13,0.315789474,4,Count of playgrounds
60644,Playground,1,9,0.526315789,16,Count of playgrounds
60645,Playground,1,7,0.631578947,24,Count of playgrounds
60646,Playground,1,8,0.578947368,23,Count of playgrounds
60647,Playground,1,11,0.421052632,9,Count of playgrounds
60649,Playground,1,5,0.736842105,36,Count of playgrounds
60651,Playground,1,5,0.736842105,36,Count of playgrounds
60652,Playground,1,6,0.684210526,29,Count of playgrounds
60653,Playground,1,7,0.631578947,24,Count of playgrounds
60654,Playground,1,0,1,48,Count of playgrounds
60655,Playground,1,5,0.736842105,36,Count of playgrounds
60656,Playground,1,3,0.842105263,44,Count of playgrounds
60657,Playground,1,3,0.842105263,44,Count of playgrounds
60659,Playground,1,7,0.631578947,24,Count of playgrounds
60660,Playground,1,4,0.789473684,40,Count of playgrounds
60707,Playground,1,0,1,48,Count of playgrounds
60827,Playground,1,0,1,48,Count of playgrounds
6761,Playground,2,5,0.736842105,36,Count of playgrounds
12311,Playground,2,6,0.684210526,29,Count of playgrounds
60608,Playground,2,13,0.315789474,4,Count of playgrounds
60609,Playground,2,19,0,1,Count of playgrounds
60610,Playground,2,4,0.789473684,40,Count of playgrounds
60612,Playground,2,7,0.631578947,24,Count of playgrounds
60613,Playground,2,2,0.894736842,46,Count of playgrounds
60614,Playground,2,17,0.105263158,2,Count of playgrounds
60615,Playground,2,10,0.473684211,11,Count of playgrounds
60616,Playground,2,15,0.210526316,3,Count of playgrounds
60617,Playground,2,13,0.315789474,4,Count of playgrounds
60618,Playground,2,10,0.473684211,11,Count of playgrounds
60619,Playground,2,10,0.473684211,11,Count of playgrounds
60620,Playground,2,11,0.421052632,9,Count of playgrounds
60621,Playground,2,7,0.631578947,24,Count of playgrounds
60622,Playground,2,9,0.526315789,16,Count of playgrounds
60623,Playground,2,9,0.526315789,16,Count of playgrounds
60624,Playground,2,13,0.315789474,4,Count of playgrounds
60625,Playground,2,9,0.526315789,16,Count of playgrounds
60626,Playground,2,10,0.473684211,11,Count of playgrounds
60628,Playground,2,9,0.526315789,16,Count of playgrounds
60629,Playground,2,6,0.684210526,29,Count of playgrounds
60630,Playground,2,9,0.526315789,16,Count of playgrounds
60631,Playground,2,6,0.684210526,29,Count of playgrounds
60632,Playground,2,6,0.684210526,29,Count of playgrounds
60633,Playground,2,2,0.894736842,46,Count of playgrounds
60634,Playground,2,4,0.789473684,40,Count of playgrounds
60636,Playground,2,6,0.684210526,29,Count of playgrounds
60637,Playground,2,12,0.368421053,8,Count of playgrounds
60638,Playground,2,10,0.473684211,11,Count of playgrounds
60639,Playground,2,9,0.526315789,16,Count of playgrounds
60640,Playground,2,4,0.789473684,40,Count of playgrounds
60641,Playground,2,6,0.684210526,29,Count of playgrounds
60642,Playground,2,0,1,48,Count of playgrounds
60643,Playground,2,13,0.315789474,4,Count of playgrounds
60644,Playground,2,9,0.526315789,16,Count of playgrounds
60645,Playground,2,7,0.631578947,24,Count of playgrounds
60646,Playground,2,8,0.578947368,23,Count of playgrounds
60647,Playground,2,11,0.421052632,9,Count of playgrounds
60649,Playground,2,5,0.736842105,36,Count of playgrounds
60651,Playground,2,5,0.736842105,36,Count of playgrounds
60652,Playground,2,6,0.684210526,29,Count of playgrounds
60653,Playground,2,7,0.631578947,24,Count of playgrounds
60654,Playground,2,0,1,48,Count of playgrounds
60655,Playground,2,5,0.736842105,36,Count of playgrounds
60656,Playground,2,3,0.842105263,44,Count of playgrounds
60657,Playground,2,3,0.842105263,44,Count of playgrounds
60659,Playground,2,7,0.631578947,24,Count of playgrounds
60660,Playground,2,4,0.789473684,40,Count of playgrounds
60707,Playground,2,0,1,48,Count of playgrounds
60827,Playground,2,0,1,48,Count of playgrounds
6761,Playground,3,5,0.736842105,36,Count of playgrounds
12311,Playground,3,6,0.684210526,29,Count of playgrounds
60608,Playground,3,13,0.315789474,4,Count of playgrounds
60609,Playground,3,19,0,1,Count of playgrounds
60610,Playground,3,4,0.789473684,40,Count of playgrounds
60612,Playground,3,7,0.631578947,24,Count of playgrounds
60613,Playground,3,2,0.894736842,46,Count of playgrounds
60614,Playground,3,17,0.105263158,2,Count of playgrounds
60615,Playground,3,10,0.473684211,11,Count of playgrounds
60616,Playground,3,15,0.210526316,3,Count of playgrounds
60617,Playground,3,13,0.315789474,4,Count of playgrounds
60618,Playground,3,10,0.473684211,11,Count of playgrounds
60619,Playground,3,10,0.473684211,11,Count of playgrounds
60620,Playground,3,11,0.421052632,9,Count of playgrounds
60621,Playground,3,7,0.631578947,24,Count of playgrounds
60622,Playground,3,9,0.526315789,16,Count of playgrounds
60623,Playground,3,9,0.526315789,16,Count of playgrounds
60624,Playground,3,13,0.315789474,4,Count of playgrounds
60625,Playground,3,9,0.526315789,16,Count of playgrounds
60626,Playground,3,10,0.473684211,11,Count of playgrounds
60628,Playground,3,9,0.526315789,16,Count of playgrounds
60629,Playground,3,6,0.684210526,29,Count of playgrounds
60630,Playground,3,9,0.526315789,16,Count of playgrounds
60631,Playground,3,6,0.684210526,29,Count of playgrounds
60632,Playground,3,6,0.684210526,29,Count of playgrounds
60633,Playground,3,2,0.894736842,46,Count of playgrounds
60634,Playground,3,4,0.789473684,40,Count of playgrounds
60636,Playground,3,6,0.684210526,29,Count of playgrounds
60637,Playground,3,12,0.368421053,8,Count of playgrounds
60638,Playground,3,10,0.473684211,11,Count of playgrounds
60639,Playground,3,9,0.526315789,16,Count of playgrounds
60640,Playground,3,4,0.789473684,40,Count of playgrounds
60641,Playground,3,6,0.684210526,29,Count of playgrounds
60642,Playground,3,0,1,48,Count of playgrounds
60643,Playground,3,13,0.315789474,4,Count of playgrounds
60644,Playground,3,9,0.526315789,16,Count of playgrounds
60645,Playground,3,7,0.631578947,24,Count of playgrounds
60646,Playground,3,8,0.578947368,23,Count of playgrounds
60647,Playground,3,11,0.421052632,9,Count of playgrounds
60649,Playground,3,5,0.736842105,36,Count of playgrounds
60651,Playground,3,5,0.736842105,36,Count of playgrounds
60652,Playground,3,6,0.684210526,29,Count of playgrounds
60653,Playground,3,7,0.631578947,24,Count of playgrounds
60654,Playground,3,0,1,48,Count of playgrounds
60655,Playground,3,5,0.736842105,36,Count of playgrounds
60656,Playground,3,3,0.842105263,44,Count of playgrounds
60657,Playground,3,3,0.842105263,44,Count of playgrounds
60659,Playground,3,7,0.631578947,24,Count of playgrounds
60660,Playground,3,4,0.789473684,40,Count of playgrounds
60707,Playground,3,0,1,48,Count of playgrounds
60827,Playground,3,0,1,48,Count of playgrounds
6761,Playground,4,5,0.736842105,36,Count of playgrounds
12311,Playground,4,6,0.684210526,29,Count of playgrounds
60608,Playground,4,13,0.315789474,4,Count of playgrounds
60609,Playground,4,19,0,1,Count of playgrounds
60610,Playground,4,4,0.789473684,40,Count of playgrounds
60612,Playground,4,7,0.631578947,24,Count of playgrounds
60613,Playground,4,2,0.894736842,46,Count of playgrounds
60614,Playground,4,17,0.105263158,2,Count of playgrounds
60615,Playground,4,10,0.473684211,11,Count of playgrounds
60616,Playground,4,15,0.210526316,3,Count of playgrounds
60617,Playground,4,13,0.315789474,4,Count of playgrounds
60618,Playground,4,10,0.473684211,11,Count of playgrounds
60619,Playground,4,10,0.473684211,11,Count of playgrounds
60620,Playground,4,11,0.421052632,9,Count of playgrounds
60621,Playground,4,7,0.631578947,24,Count of playgrounds
60622,Playground,4,9,0.526315789,16,Count of playgrounds
60623,Playground,4,9,0.526315789,16,Count of playgrounds
60624,Playground,4,13,0.315789474,4,Count of playgrounds
60625,Playground,4,9,0.526315789,16,Count of playgrounds
60626,Playground,4,10,0.473684211,11,Count of playgrounds
60628,Playground,4,9,0.526315789,16,Count of playgrounds
60629,Playground,4,6,0.684210526,29,Count of playgrounds
60630,Playground,4,9,0.526315789,16,Count of playgrounds
60631,Playground,4,6,0.684210526,29,Count of playgrounds
60632,Playground,4,6,0.684210526,29,Count of playgrounds
60633,Playground,4,2,0.894736842,46,Count of playgrounds
60634,Playground,4,4,0.789473684,40,Count of playgrounds
60636,Playground,4,6,0.684210526,29,Count of playgrounds
60637,Playground,4,12,0.368421053,8,Count of playgrounds
60638,Playground,4,10,0.473684211,11,Count of playgrounds
60639,Playground,4,9,0.526315789,16,Count of playgrounds
60640,Playground,4,4,0.789473684,40,Count of playgrounds
60641,Playground,4,6,0.684210526,29,Count of playgrounds
60642,Playground,4,0,1,48,Count of playgrounds
60643,Playground,4,13,0.315789474,4,Count of playgrounds
60644,Playground,4,9,0.526315789,16,Count of playgrounds
60645,Playground,4,7,0.631578947,24,Count of playgrounds
60646,Playground,4,8,0.578947368,23,Count of playgrounds
60647,Playground,4,11,0.421052632,9,Count of playgrounds
60649,Playground,4,5,0.736842105,36,Count of playgrounds
60651,Playground,4,5,0.736842105,36,Count of playgrounds
60652,Playground,4,6,0.684210526,29,Count of playgrounds
60653,Playground,4,7,0.631578947,24,Count of playgrounds
60654,Playground,4,0,1,48,Count of playgrounds
60655,Playground,4,5,0.736842105,36,Count of playgrounds
60656,Playground,4,3,0.842105263,44,Count of playgrounds
60657,Playground,4,3,0.842105263,44,Count of playgrounds
60659,Playground,4,7,0.631578947,24,Count of playgrounds
60660,Playground,4,4,0.789473684,40,Count of playgrounds
60707,Playground,4,0,1,48,Count of playgrounds
60827,Playground,4,0,1,48,Count of playgrounds
6761,Playground,5,5,0.736842105,36,Count of playgrounds
12311,Playground,5,6,0.684210526,29,Count of playgrounds
60608,Playground,5,13,0.315789474,4,Count of playgrounds
60609,Playground,5,19,0,1,Count of playgrounds
60610,Playground,5,4,0.789473684,40,Count of playgrounds
60612,Playground,5,7,0.631578947,24,Count of playgrounds
60613,Playground,5,2,0.894736842,46,Count of playgrounds
60614,Playground,5,17,0.105263158,2,Count of playgrounds
60615,Playground,5,10,0.473684211,11,Count of playgrounds
60616,Playground,5,15,0.210526316,3,Count of playgrounds
60617,Playground,5,13,0.315789474,4,Count of playgrounds
60618,Playground,5,10,0.473684211,11,Count of playgrounds
60619,Playground,5,10,0.473684211,11,Count of playgrounds
60620,Playground,5,11,0.421052632,9,Count of playgrounds
60621,Playground,5,7,0.631578947,24,Count of playgrounds
60622,Playground,5,9,0.526315789,16,Count of playgrounds
60623,Playground,5,9,0.526315789,16,Count of playgrounds
60624,Playground,5,13,0.315789474,4,Count of playgrounds
60625,Playground,5,9,0.526315789,16,Count of playgrounds
60626,Playground,5,10,0.473684211,11,Count of playgrounds
60628,Playground,5,9,0.526315789,16,Count of playgrounds
60629,Playground,5,6,0.684210526,29,Count of playgrounds
60630,Playground,5,9,0.526315789,16,Count of playgrounds
60631,Playground,5,6,0.684210526,29,Count of playgrounds
60632,Playground,5,6,0.684210526,29,Count of playgrounds
60633,Playground,5,2,0.894736842,46,Count of playgrounds
60634,Playground,5,4,0.789473684,40,Count of playgrounds
60636,Playground,5,6,0.684210526,29,Count of playgrounds
60637,Playground,5,12,0.368421053,8,Count of playgrounds
60638,Playground,5,10,0.473684211,11,Count of playgrounds
60639,Playground,5,9,0.526315789,16,Count of playgrounds
60640,Playground,5,4,0.789473684,40,Count of playgrounds
60641,Playground,5,6,0.684210526,29,Count of playgrounds
60642,Playground,5,0,1,48,Count of playgrounds
60643,Playground,5,13,0.315789474,4,Count of playgrounds
60644,Playground,5,9,0.526315789,16,Count of playgrounds
60645,Playground,5,7,0.631578947,24,Count of playgrounds
60646,Playground,5,8,0.578947368,23,Count of playgrounds
60647,Playground,5,11,0.421052632,9,Count of playgrounds
60649,Playground,5,5,0.736842105,36,Count of playgrounds
60651,Playground,5,5,0.736842105,36,Count of playgrounds
60652,Playground,5,6,0.684210526,29,Count of playgrounds
60653,Playground,5,7,0.631578947,24,Count of playgrounds
60654,Playground,5,0,1,48,Count of playgrounds
60655,Playground,5,5,0.736842105,36,Count of playgrounds
60656,Playground,5,3,0.842105263,44,Count of playgrounds
60657,Playground,5,3,0.842105263,44,Count of playgrounds
60659,Playground,5,7,0.631578947,24,Count of playgrounds
60660,Playground,5,4,0.789473684,40,Count of playgrounds
60707,Playground,5,0,1,48,Count of playgrounds
60827,Playground,5,0,1,48,Count of playgrounds